Date	H (cm)	date	date from zero
37304.0799	11	17/02/2002 01:55	101.4
37304.6194	12.5	17/02/2002 14:52	101.9395
37304.8799	15.8	17/02/2002 21:07	102.2
37305	16.4	18/02/2002 00:00	102.3201
37305.4597	13.7	18/02/2002 11:02	102.7798
37306.0097	14.4	19/02/2002 00:14	103.3298
37306.6097	13.4	19/02/2002 14:38	103.9298
37307.95	14.3	20/02/2002 22:48	105.2701
37308.2299	15.3	21/02/2002 05:31	105.55
37308.6597	15.5	21/02/2002 15:50	105.9798
37309.4299	13.7	22/02/2002 10:19	106.75
37310.8299	14.8	23/02/2002 19:55	108.15
37311.0799	16	24/02/2002 01:55	108.4
37313	14.9	26/02/2002 00:00	110.3201
37316.5194	16.1	01/03/2002 12:28	113.8395
37316.6799	17.5	01/03/2002 16:19	114
37316.8194	20.5	01/03/2002 19:40	114.1395
37317.0097	30.9	02/03/2002 00:14	114.3298
37317.2	45.1	02/03/2002 04:48	114.5201
37317.2194	45.1	02/03/2002 05:16	114.5395
37317.4396	37.4	02/03/2002 10:33	114.7597
37317.6694	33.9	02/03/2002 16:04	114.9895
37318.6194	29.6	03/03/2002 14:52	115.9395
37320.8799	26	05/03/2002 21:07	118.2
37321.3396	26	06/03/2002 08:09	118.6597
37322.5896	22.9	07/03/2002 14:09	119.9097
37323	23.1	08/03/2002 00:00	120.3201
37324.9396	20.2	09/03/2002 22:33	122.2597
37329.2396	17.3	14/03/2002 05:45	126.5597
37329.3	18.6	14/03/2002 07:12	126.6201
37329.3799	18.8	14/03/2002 09:07	126.7
37329.4896	21.1	14/03/2002 11:45	126.8097
37329.6597	22	14/03/2002 15:50	126.9798
37329.7194	23.4	14/03/2002 17:16	127.0395
37329.9896	21.7	14/03/2002 23:45	127.3097
37330.1799	22.7	15/03/2002 04:19	127.5
37330.2299	24.7	15/03/2002 05:31	127.55
37330.2799	29.2	15/03/2002 06:43	127.6
37330.3194	35.5	15/03/2002 07:40	127.6395
37330.3694	44.4	15/03/2002 08:52	127.6895
37330.4194	51.4	15/03/2002 10:04	127.7395
37330.4597	54.1	15/03/2002 11:02	127.7798
37330.5396	55.7	15/03/2002 12:57	127.8597
37330.5896	57.9	15/03/2002 14:09	127.9097
37330.6299	57.2	15/03/2002 15:07	127.95
37330.7	54.2	15/03/2002 16:48	128.0201
37330.8299	50.2	15/03/2002 19:55	128.15
37331.0299	45.8	16/03/2002 00:43	128.35
37331.1396	44.3	16/03/2002 03:21	128.4597
37331.55	41.2	16/03/2002 13:12	128.8701
37332.3299	38.4	17/03/2002 07:55	129.65
37333.1799	36.3	18/03/2002 04:19	130.5
37334	35.3	19/03/2002 00:00	131.3201
37335.6299	30.8	20/03/2002 15:07	132.95
37336.35	29.9	21/03/2002 08:24	133.6701
37337.7299	26.4	22/03/2002 17:31	135.05
37338.4194	26	23/03/2002 10:04	135.7395
37338.4799	25.2	23/03/2002 11:31	135.8
37341.5694	20.8	26/03/2002 13:40	138.8895
37341.6097	21.3	26/03/2002 14:38	138.9298
37344.8896	17.7	29/03/2002 21:21	142.2097
37345.5299	17.9	30/03/2002 12:43	142.85
37346.6396	16.5	31/03/2002 15:21	143.9597
37348.5896	15.4	02/04/2002 14:09	145.9097
37348.6194	16	02/04/2002 14:52	145.9395
37350.3299	14.5	04/04/2002 07:55	147.65
37351.3	15.1	05/04/2002 07:12	148.6201
37351.5597	14.2	05/04/2002 13:26	148.8798
37353.0097	13.4	07/04/2002 00:14	150.3298
37353.3694	13.9	07/04/2002 08:52	150.6895
37353.5799	16	07/04/2002 13:55	150.9
37353.75	19.1	07/04/2002 18:00	151.0701
37353.9896	18.8	07/04/2002 23:45	151.3097
37354.1194	17.3	08/04/2002 02:52	151.4395
37354.5694	15.3	08/04/2002 13:40	151.8895
37355	14.8	09/04/2002 00:00	152.3201
37355.65	15.4	09/04/2002 15:36	152.9701
37356.5694	14.2	10/04/2002 13:40	153.8895
37356.6799	14.6	10/04/2002 16:19	154
37356.9299	18.7	10/04/2002 22:19	154.25
37357.0799	24.5	11/04/2002 01:55	154.4
37357.25	33.6	11/04/2002 06:00	154.5701
37357.3299	35.3	11/04/2002 07:55	154.65
37357.4896	34.3	11/04/2002 11:45	154.8097
37357.6097	34.8	11/04/2002 14:38	154.9298
37357.9299	31.4	11/04/2002 22:19	155.25
37358.4799	28.1	12/04/2002 11:31	155.8
37359.6194	25.7	13/04/2002 14:52	156.9395
37363.9396	21.4	17/04/2002 22:33	161.2597
37370.0097	17	24/04/2002 00:14	167.3298
37377	9	01/05/2002 00:00	174.3201
37377.4194	9.2	01/05/2002 10:04	174.7395
37377.7299	11.3	01/05/2002 17:31	175.05
37377.8896	13.4	01/05/2002 21:21	175.2097
37378.1	20	02/05/2002 02:24	175.4201
37378.15	21	02/05/2002 03:36	175.4701
37378.3	20.3	02/05/2002 07:12	175.6201
37378.4396	18.3	02/05/2002 10:33	175.7597
37378.5	22	02/05/2002 12:00	175.8201
37379.0097	18.8	03/05/2002 00:14	176.3298
37379.9	17	03/05/2002 21:36	177.2201
37380.5597	16.7	04/05/2002 13:26	177.8798
37380.5799	16.6	04/05/2002 13:55	177.9
37384.95	14.5	08/05/2002 22:48	182.2701
37385.3299	15.7	09/05/2002 07:55	182.65
37385.5396	17.8	09/05/2002 12:57	182.8597
37385.7	21.2	09/05/2002 16:48	183.0201
37385.9097	22.7	09/05/2002 21:50	183.2298
37385.9597	23.9	09/05/2002 23:02	183.2798
37386	26.2	10/05/2002 00:00	183.3201
37386.1194	28.1	10/05/2002 02:52	183.4395
37386.3799	27.9	10/05/2002 09:07	183.7
37386.7597	24.7	10/05/2002 18:14	184.0798
37387	23.7	11/05/2002 00:00	184.3201
37387.9299	22	11/05/2002 22:19	185.25
37389.6799	21.2	13/05/2002 16:19	187
37389.8597	20.4	13/05/2002 20:38	187.1798
37393	17.5	17/05/2002 00:00	190.3201
37394.0097	16.9	18/05/2002 00:14	191.3298
37394.5896	17.4	18/05/2002 14:09	191.9097
37396	15.3	20/05/2002 00:00	193.3201
37397.5799	15.3	21/05/2002 13:55	194.9
37397.5896	14.7	21/05/2002 14:09	194.9097
37398	13.8	22/05/2002 00:00	195.3201
37398.7194	15.1	22/05/2002 17:16	196.0395
37398.9299	14.1	22/05/2002 22:19	196.25
37399.0799	14.6	23/05/2002 01:55	196.4
37399.1097	19.5	23/05/2002 02:38	196.4298
37399.1299	19.9	23/05/2002 03:07	196.45
37399.1799	23.2	23/05/2002 04:19	196.5
37399.2	27.1	23/05/2002 04:48	196.5201
37399.2097	27.6	23/05/2002 05:02	196.5298
37399.2694	25.2	23/05/2002 06:28	196.5895
37399.3299	25.5	23/05/2002 07:55	196.65
37399.35	26.6	23/05/2002 08:24	196.6701
37399.45	34.1	23/05/2002 10:48	196.7701
37399.5194	36.4	23/05/2002 12:28	196.8395
37399.6396	34.7	23/05/2002 15:21	196.9597
37399.7097	32.6	23/05/2002 17:02	197.0298
37399.7194	31.6	23/05/2002 17:16	197.0395
37399.8	29.6	23/05/2002 19:12	197.1201
37400.0896	25.5	24/05/2002 02:09	197.4097
37400.2694	24	24/05/2002 06:28	197.5895
37400.7799	20.9	24/05/2002 18:43	198.1
37402	18.7	26/05/2002 00:00	199.3201
37405.7597	16.3	29/05/2002 18:14	203.0798
37408	14	01/06/2002 00:00	205.3201
37410.2799	13	03/06/2002 06:43	207.6
37410.6	13.4	03/06/2002 14:24	207.9201
37410.6597	15.7	03/06/2002 15:50	207.9798
37410.7799	14.5	03/06/2002 18:43	208.1
37411.0097	14.3	04/06/2002 00:14	208.3298
37411.1597	14.6	04/06/2002 03:50	208.4798
37411.1896	15.6	04/06/2002 04:33	208.5097
37411.3694	15.1	04/06/2002 08:52	208.6895
37412	16	05/06/2002 00:00	209.3201
37412.0597	16.5	05/06/2002 01:26	209.3798
37412.0694	17.6	05/06/2002 01:40	209.3895
37412.1	17	05/06/2002 02:24	209.4201
37412.1299	17.9	05/06/2002 03:07	209.45
37412.15	19.4	05/06/2002 03:36	209.4701
37412.1799	22.4	05/06/2002 04:19	209.5
37412.25	22.5	05/06/2002 06:00	209.5701
37412.3	24.8	05/06/2002 07:12	209.6201
37412.3299	27.1	05/06/2002 07:55	209.65
37412.3299	28.7	05/06/2002 07:55	209.65
37412.35	29.2	05/06/2002 08:24	209.6701
37412.4	28.8	05/06/2002 09:36	209.7201
37412.5597	23.5	05/06/2002 13:26	209.8798
37412.7	20.8	05/06/2002 16:48	210.0201
37413.1097	19.5	06/06/2002 02:38	210.4298
37413.1896	21.7	06/06/2002 04:33	210.5097
37413.2299	23.3	06/06/2002 05:31	210.55
37413.3396	25.4	06/06/2002 08:09	210.6597
37413.5597	32.2	06/06/2002 13:26	210.8798
37413.7799	30.8	06/06/2002 18:43	211.1
37414.1396	26.5	07/06/2002 03:21	211.4597
37414.85	22.7	07/06/2002 20:24	212.1701
37415.3299	22	08/06/2002 07:55	212.65
37416.0097	23.7	09/06/2002 00:14	213.3298
37416.3799	23.5	09/06/2002 09:07	213.7
37416.7299	22.1	09/06/2002 17:31	214.05
37417.45	21.6	10/06/2002 10:48	214.7701
37417.8396	20.4	10/06/2002 20:09	215.1597
37418.5299	20.3	11/06/2002 12:43	215.85
37418.55	20.6	11/06/2002 13:12	215.8701
37418.7597	19.6	11/06/2002 18:14	216.0798
37419.4396	19.9	12/06/2002 10:33	216.7597
37419.8299	18.4	12/06/2002 19:55	217.15
37421	17.3	14/06/2002 00:00	218.3201
37421.4396	17.8	14/06/2002 10:33	218.7597
37421.8597	16.3	14/06/2002 20:38	219.1798
37422.45	16.7	15/06/2002 10:48	219.7701
37422.9396	15.1	15/06/2002 22:33	220.2597
37423.2694	15.3	16/06/2002 06:28	220.5895
37423.2799	15.4	16/06/2002 06:43	220.6
37423.7299	15.1	16/06/2002 17:31	221.05
37423.8194	14.4	16/06/2002 19:40	221.1395
37425.6799	13.2	18/06/2002 16:19	223
37426.0097	12.4	19/06/2002 00:14	223.3298
37426.2694	11.7	19/06/2002 06:28	223.5895
37428.0097	10.8	21/06/2002 00:14	225.3298
37428.3896	10.9	21/06/2002 09:21	225.7097
37428.4097	11	21/06/2002 09:50	225.7298
37429	9.9	22/06/2002 00:00	226.3201
37429.5097	10.6	22/06/2002 12:14	226.8298
37429.7597	10	22/06/2002 18:14	227.0798
37430.1694	9.1	23/06/2002 04:04	227.4895
37430.3799	9.6	23/06/2002 09:07	227.7
37433	8.1	26/06/2002 00:00	230.3201
37433.3597	8.8	26/06/2002 08:38	230.6798
37433.3799	7.5	26/06/2002 09:07	230.7
37433.4299	8.1	26/06/2002 10:19	230.75
37435	7.3	28/06/2002 00:00	232.3201
37435.1799	8.6	28/06/2002 04:19	232.5
37435.5	8.6	28/06/2002 12:00	232.8201
37436.0097	7.3	29/06/2002 00:14	233.3298
37437.7896	6.2	30/06/2002 18:57	235.1097
37438.5299	6.7	01/07/2002 12:43	235.85
37439.6299	5.5	02/07/2002 15:07	236.95
37441.5097	5.6	04/07/2002 12:14	238.8298
37441.8694	4.3	04/07/2002 20:52	239.1895
37442	5.1	05/07/2002 00:00	239.3201
37442.6799	5.1	05/07/2002 16:19	240
37442.9799	4.4	05/07/2002 23:31	240.3
37444.6194	4.7	07/07/2002 14:52	241.9395
37444.6299	4	07/07/2002 15:07	241.95
37444.7299	4.6	07/07/2002 17:31	242.05
37445.65	4.5	08/07/2002 15:36	242.9701
37445.6597	3.8	08/07/2002 15:50	242.9798
37446.6299	4.5	09/07/2002 15:07	243.95
37446.8299	3.8	09/07/2002 19:55	244.15
37447.2299	4.4	10/07/2002 05:31	244.55
37447.4799	5.6	10/07/2002 11:31	244.8
37447.6	4.6	10/07/2002 14:24	244.9201
37447.8799	6.7	10/07/2002 21:07	245.2
37448.8396	4.3	11/07/2002 20:09	246.1597
37449.7396	4.1	12/07/2002 17:45	247.0597
37449.7694	6.3	12/07/2002 18:28	247.0895
37449.8799	6.4	12/07/2002 21:07	247.2
37449.9299	8	12/07/2002 22:19	247.25
37450.0097	8.6	13/07/2002 00:14	247.3298
37450.0396	12.8	13/07/2002 00:57	247.3597
37450.1	13.4	13/07/2002 02:24	247.4201
37450.2694	11	13/07/2002 06:28	247.5895
37450.4299	10.4	13/07/2002 10:19	247.75
37450.4396	9.8	13/07/2002 10:33	247.7597
37450.7694	7.4	13/07/2002 18:28	248.0895
