"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
2003-10-01T00:00:00.000Z,2003-10-01T00:00:00.000Z,"0.06","16",20,10,0
2003-11-01T00:00:00.000Z,2003-11-07T11:00:00.000Z,"0.20","16",20,10,0
2003-12-01T00:00:00.000Z,2003-12-25T16:12:00.000Z,"0.22","16",20,10,0
2004-01-01T00:00:00.000Z,2004-01-30T12:24:00.000Z,"0.15","16",20,10,0
2004-02-01T00:00:00.000Z,2004-02-19T05:12:00.000Z,"0.14","16",20,10,0
2004-03-01T00:00:00.000Z,2004-03-12T04:36:00.000Z,"0.18","16",20,10,0
2004-04-01T00:00:00.000Z,2004-04-28T22:12:00.000Z,"0.15","16",20,10,0
2004-05-01T00:00:00.000Z,2004-05-31T22:00:00.000Z,"0.11","16",20,10,0
2004-06-01T00:00:00.000Z,2004-06-30T23:59:59.000Z,"0.01","16",20,10,0
2004-07-01T00:00:00.000Z,2004-07-30T08:48:00.000Z,"-0.02","16",20,10,0
2004-08-01T00:00:00.000Z,2004-08-01T11:36:00.000Z,"-0.01","16",20,10,0
2004-09-01T00:00:00.000Z,2004-09-25T07:59:00.000Z,"0.05","16",20,10,0
2004-10-01T00:00:00.000Z,2004-10-06T17:23:00.000Z,"0.05","16",20,10,0
2004-11-01T00:00:00.000Z,2004-11-30T09:11:00.000Z,"0.13","16",20,10,0
2004-12-01T00:00:00.000Z,2004-12-28T17:12:00.000Z,"0.13","16",20,10,0
2005-01-01T00:00:00.000Z,2005-01-29T10:48:00.000Z,"0.09","16",20,10,0
2005-02-01T00:00:00.000Z,2005-02-28T23:59:59.000Z,"0.08","16",20,10,0
2005-03-01T00:00:00.000Z,2005-03-10T10:24:00.000Z,"0.07","16",20,10,0
2005-04-01T00:00:00.000Z,2005-04-06T22:00:00.000Z,"0.10","16",20,10,0
2005-05-01T00:00:00.000Z,2005-05-31T13:48:00.000Z,"0.11","16",20,10,0
2005-06-01T00:00:00.000Z,2005-06-28T12:48:00.000Z,"0.02","16",20,10,0
2005-07-01T00:00:00.000Z,2005-07-27T11:12:00.000Z,"-0.04","16",20,10,0
2005-08-01T00:00:00.000Z,2005-08-22T09:15:00.000Z,"-0.06","16",20,10,0
2005-09-01T00:00:00.000Z,2005-09-04T17:48:00.000Z,"-0.06","16",20,10,0
2005-10-01T00:00:00.000Z,2005-10-11T22:00:00.000Z,"0.04","16",20,10,0
2005-11-01T00:00:00.000Z,2005-11-30T23:59:59.000Z,"0.17","16",20,10,0
2005-12-01T00:00:00.000Z,2005-12-30T07:12:00.000Z,"0.10","16",20,10,0
2006-01-01T00:00:00.000Z,2006-01-03T15:23:00.000Z,"0.11","16",20,10,0
2006-02-01T00:00:00.000Z,2006-02-15T10:00:00.000Z,"0.18","16",20,10,0
2006-03-01T00:00:00.000Z,2006-03-19T23:59:59.000Z,"0.17","16",20,10,0
2006-04-01T00:00:00.000Z,2006-04-30T23:59:59.000Z,"0.14","16",20,10,0
2006-05-01T00:00:00.000Z,2006-05-31T22:00:00.000Z,"0.08","16",20,10,0
2006-06-01T00:00:00.000Z,2006-06-28T16:35:00.000Z,"0.00","16",20,10,0
2006-07-01T00:00:00.000Z,2006-07-25T22:48:00.000Z,"-0.02","16",20,10,0
2006-08-01T00:00:00.000Z,2006-08-10T22:12:00.000Z,"-0.03","16",20,10,0
2006-09-01T00:00:00.000Z,2006-09-05T22:00:00.000Z,"-0.01","16",20,10,0
2006-10-01T00:00:00.000Z,2006-10-18T10:34:00.000Z,"0.14","16",20,10,0
2006-11-01T00:00:00.000Z,2006-11-13T07:24:00.000Z,"0.15","16",20,10,0
2006-12-01T00:00:00.000Z,2006-12-31T23:59:59.000Z,"0.15","16",20,10,0
2007-01-01T00:00:00.000Z,2007-01-20T14:48:00.000Z,"0.09","16",20,10,0
2007-02-01T00:00:00.000Z,2007-02-11T20:12:00.000Z,"0.09","16",20,10,0
2007-03-01T00:00:00.000Z,2007-03-31T22:00:00.000Z,"0.08","16",20,10,0
2007-04-01T00:00:00.000Z,2007-04-01T00:00:00.000Z,"0.08","16",20,10,0
2007-05-01T00:00:00.000Z,2007-05-01T15:12:00.000Z,"0.10","16",12,0,0
2007-06-01T00:00:00.000Z,2007-06-30T18:36:00.000Z,"0.11","16",20,10,0
2007-07-01T00:00:00.000Z,2007-07-29T15:24:00.000Z,"-0.00","16",20,10,0
2007-08-01T00:00:00.000Z,2007-08-26T13:12:00.000Z,"-0.02","16",20,10,0
2007-09-01T00:00:00.000Z,2007-09-17T04:24:00.000Z,"-0.04","16",20,10,0
2007-10-01T00:00:00.000Z,2007-10-19T15:12:00.000Z,"-0.03","16",20,10,0
2007-11-01T00:00:00.000Z,2007-11-10T09:23:00.000Z,"-0.03","16",20,10,0
2007-12-01T00:00:00.000Z,2007-12-31T09:11:00.000Z,"0.07","16",20,10,0
2008-01-01T00:00:00.000Z,2008-01-01T00:00:00.000Z,"0.07","16",20,10,0
2008-02-01T00:00:00.000Z,2008-02-24T21:36:00.000Z,"0.16","16",20,10,0
2008-03-01T00:00:00.000Z,2008-03-29T21:48:00.000Z,"0.10","16",20,10,0
2008-04-01T00:00:00.000Z,2008-04-01T23:00:00.000Z,"0.13","16",20,10,0
2008-05-01T00:00:00.000Z,2008-05-14T23:59:59.000Z,"0.21","16",20,10,0
2008-06-01T00:00:00.000Z,2008-06-30T23:59:59.000Z,"0.14","16",20,10,0
2008-07-01T00:00:00.000Z,2008-07-31T12:12:00.000Z,"0.03","16",20,10,0
2008-08-01T00:00:00.000Z,2008-08-31T23:59:59.000Z,"-0.02","16",20,10,0
2008-09-01T00:00:00.000Z,2008-09-02T14:36:00.000Z,"-0.02","16",20,10,0
2008-10-01T00:00:00.000Z,2008-10-03T23:59:59.000Z,"-0.03","16",20,10,0
2008-11-01T00:00:00.000Z,2008-11-29T13:23:00.000Z,"-0.25","16",20,10,0
2008-12-01T00:00:00.000Z,2008-12-12T06:47:00.000Z,"-0.26","16",20,10,0
2009-01-01T00:00:00.000Z,2009-01-22T11:00:00.000Z,"-0.27","16",20,10,0
2009-02-01T00:00:00.000Z,2009-02-01T13:48:00.000Z,"-0.27","16",20,10,0
2009-03-01T00:00:00.000Z,2009-03-10T15:00:00.000Z,"-0.25","16",20,10,0
2009-04-01T00:00:00.000Z,2009-04-01T20:36:00.000Z,"-0.23","16",20,10,0
2009-05-01T00:00:00.000Z,2009-05-22T13:24:00.000Z,"-0.32","16",20,10,0
2009-06-01T00:00:00.000Z,2009-06-28T23:59:59.000Z,"-0.40","16",20,10,0
2009-07-01T00:00:00.000Z,2009-07-31T23:59:59.000Z,"-0.44","16",20,10,0
2009-08-01T00:00:00.000Z,2009-08-24T15:00:00.000Z,"-0.45","16",20,10,0
2009-09-01T00:00:00.000Z,2009-09-10T21:48:00.000Z,"-0.46","16",20,10,0
